"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"","null","","html-keyboard-response","313","509897","0.0-55.0-0.5","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","431.0100000584498","trial","sequential-stimulus-presentation","314","511296","0.0-55.0-1.5","SS1611940976610","","40","900","1331.0100000584498","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
"","null","","html-keyboard-response","315","512618","0.0-55.0-0.6","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","267.9700000444427","trial","sequential-stimulus-presentation","316","513849","0.0-55.0-1.6","SS1611940976610","","40","900","1167.9700000444427","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
"","null","","html-keyboard-response","317","514727","0.0-55.0-0.7","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","293.4000000823289","trial","sequential-stimulus-presentation","318","515985","0.0-55.0-1.7","SS1611940976610","","40","900","1193.400000082329","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
"","146.24000003095716","pref_question","html-keyboard-response","319","516188","0.0-56.0","SS1611940976610","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","16","","",""
"","1523.8200000021607","pref_reveal","sequential-stimulus-presentation","320","518674","0.0-57.0","SS1611940976610","","40","900","2423.8200000021607","","","","16","","","deviant"
"","null","","html-keyboard-response","321","519747","0.0-58.0-0.0","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","664.3599999370053","trial","sequential-stimulus-presentation","322","521375","0.0-58.0-1.0","SS1611940976610","","40","900","1564.3599999370053","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","null","","html-keyboard-response","323","522627","0.0-58.0-0.1","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","303.0199999921024","trial","sequential-stimulus-presentation","324","523897","0.0-58.0-1.1","SS1611940976610","","40","900","1203.0199999921024","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","null","","html-keyboard-response","325","524902","0.0-58.0-0.2","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","743.114999961108","trial","sequential-stimulus-presentation","326","526616","0.0-58.0-1.2","SS1611940976610","","40","900","1643.114999961108","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","null","","html-keyboard-response","327","527943","0.0-58.0-0.3","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","527.4300000164658","trial","sequential-stimulus-presentation","328","529437","0.0-58.0-1.3","SS1611940976610","","40","900","1427.4300000164658","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","null","","html-keyboard-response","329","530597","0.0-58.0-0.4","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","680.0800000783056","trial","sequential-stimulus-presentation","330","532244","0.0-58.0-1.4","SS1611940976610","","40","900","1580.0800000783056","","","","17","images/stimuli/spore_stims/simple_20_A_b.gif","middle",""
"","null","","html-keyboard-response","331","533194","0.0-58.0-0.5","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1257.5850000139326","trial","sequential-stimulus-presentation","332","535423","0.0-58.0-1.5","SS1611940976610","","40","900","2157.5850000139326","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","null","","html-keyboard-response","333","536468","0.0-58.0-0.6","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","715.1450000237674","trial","sequential-stimulus-presentation","334","538155","0.0-58.0-1.6","SS1611940976610","","40","900","1615.1450000237674","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","null","","html-keyboard-response","335","539189","0.0-58.0-0.7","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","981.8400000222027","trial","sequential-stimulus-presentation","336","541147","0.0-58.0-1.7","SS1611940976610","","40","900","1881.8400000222027","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left",""
"","1466.6300000390038","pref_question","html-keyboard-response","337","542675","0.0-59.0","SS1611940976610","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","17","","",""
"","781.5999999875203","pref_reveal","sequential-stimulus-presentation","338","544419","0.0-60.0","SS1611940976610","","40","900","1681.5999999875203","","","","17","","","deviant"
"","null","","html-keyboard-response","339","545420","0.0-61.0-0.0","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","397.39499997813255","trial","sequential-stimulus-presentation","340","546784","0.0-61.0-1.0","SS1611940976610","","40","900","1297.3949999781325","","","","18","images/stimuli/spore_stims/complex_19_B_b.gif","right",""
"","null","","html-keyboard-response","341","547895","0.0-61.0-0.1","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","283.6599999573082","trial","sequential-stimulus-presentation","342","549146","0.0-61.0-1.1","SS1611940976610","","40","900","1183.6599999573082","","","","18","images/stimuli/spore_stims/complex_19_B_b.gif","right",""
"","null","","html-keyboard-response","343","550364","0.0-61.0-0.2","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","184.02000004425645","trial","sequential-stimulus-presentation","344","551517","0.0-61.0-1.2","SS1611940976610","","40","900","1084.0200000442564","","","","18","images/stimuli/spore_stims/complex_19_B_b.gif","right",""
"","null","","html-keyboard-response","345","552635","0.0-61.0-0.3","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","366.2800000747666","trial","sequential-stimulus-presentation","346","553969","0.0-61.0-1.3","SS1611940976610","","40","900","1266.2800000747666","","","","18","images/stimuli/spore_stims/complex_19_B_b.gif","right",""
"","null","","html-keyboard-response","347","555036","0.0-61.0-0.4","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","303.85499994736165","trial","sequential-stimulus-presentation","348","556309","0.0-61.0-1.4","SS1611940976610","","40","900","1203.8549999473616","","","","18","images/stimuli/spore_stims/complex_19_B_b.gif","right",""
