"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","","html-keyboard-response","169","298642","0.0-31.0-0.8","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2268.9250000002794","trial","sequential-stimulus-presentation","170","301621","0.0-31.0-1.8","SS1612117478452","","40","700","2968.9250000002794","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_04_B_d.gif","left","","","","",""
"","1572.6400000021094","pref_question","html-keyboard-response","171","303197","0.0-32.0","SS1612117478452","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","8","","","","","","","",""
"","2279.114999997546","pref_reveal","sequential-stimulus-presentation","172","306185","0.0-33.0","SS1612117478452","","40","700","2979.114999997546","","","","8","","","","deviant","","","",""
"","null","","html-keyboard-response","173","307156","0.0-34.0-0.0","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2098.324999999022","trial","sequential-stimulus-presentation","174","309966","0.0-34.0-1.0","SS1612117478452","","40","700","2798.324999999022","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","null","","html-keyboard-response","175","310880","0.0-34.0-0.1","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","693.6900000000605","trial","sequential-stimulus-presentation","176","312284","0.0-34.0-1.1","SS1612117478452","","40","700","1393.6900000000605","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","null","","html-keyboard-response","177","313146","0.0-34.0-0.2","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1169.6650000012596","trial","sequential-stimulus-presentation","178","315028","0.0-34.0-1.2","SS1612117478452","","40","700","1869.6650000012596","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","null","","html-keyboard-response","179","315880","0.0-34.0-0.3","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","897.6050000019022","trial","sequential-stimulus-presentation","180","317489","0.0-34.0-1.3","SS1612117478452","","40","700","1597.6050000019022","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","181","318297","0.0-34.0-0.4","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","386.0050000002957","trial","sequential-stimulus-presentation","182","319390","0.0-34.0-1.4","SS1612117478452","","40","700","1086.0050000002957","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","null","","html-keyboard-response","183","320670","0.0-34.0-0.5","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","4158.780000001541","trial","sequential-stimulus-presentation","184","325539","0.0-34.0-1.5","SS1612117478452","","40","700","4858.780000001541","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","null","","html-keyboard-response","185","326349","0.0-34.0-0.6","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","980.9350000032573","trial","sequential-stimulus-presentation","186","328035","0.0-34.0-1.6","SS1612117478452","","40","700","1680.9350000032573","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","null","","html-keyboard-response","187","329101","0.0-34.0-0.7","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2945.6300000019837","trial","sequential-stimulus-presentation","188","332837","0.0-34.0-1.7","SS1612117478452","","40","700","3645.6300000019837","","","","9","complex_similar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","34915.05999999936","pref_question","html-keyboard-response","189","367754","0.0-35.0","SS1612117478452","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","9","","","","","","","",""
"","1318.8399999999674","pref_reveal","sequential-stimulus-presentation","190","369778","0.0-36.0","SS1612117478452","","40","700","2018.8399999999674","","","","9","","","","novel","","","",""
"","null","","html-keyboard-response","191","370711","0.0-37.0-0.0","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
