subject,block_number,block_type,forced_exposure_time,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1646459697680,5,complex,10000,memory,NA,1,background,10000,images/stimuli/complex_16_A_a.gif,memory_novel,TRUE
SS1646459697680,5,complex,10000,memory,NA,2,background,4492.10000000149,images/stimuli/complex_16_A_a.gif,memory_novel,TRUE
SS1646459697680,5,complex,10000,memory,NA,3,background,1029.3999999985099,images/stimuli/complex_16_A_a.gif,memory_novel,TRUE
SS1646459697680,5,complex,10000,memory,NA,4,background,528,images/stimuli/complex_16_A_a.gif,memory_novel,TRUE
SS1646459697680,5,complex,10000,memory,NA,5,background,550.8999999985099,images/stimuli/complex_16_A_a.gif,memory_novel,TRUE
SS1646459697680,5,complex,10000,memory,NA,6,background,628.1000000014901,images/stimuli/complex_16_A_a.gif,memory_novel,TRUE
SS1646459697680,6,simple,10000,memory,4,1,background,10000,images/stimuli/simple_16_A_a.gif,memory_novel,FALSE
SS1646459697680,6,simple,10000,memory,4,2,background,4070,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697680,6,simple,10000,memory,4,3,background,2479.900000002235,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697680,6,simple,10000,memory,4,4,deviant,6000,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697680,6,simple,10000,memory,4,5,background,1927.699999999255,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697680,6,simple,10000,memory,4,6,background,1322.199999999255,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697680,7,simple,10000,memory,6,1,background,10000,images/stimuli/simple_11_A_a.gif,memory_novel,FALSE
SS1646459697680,7,simple,10000,memory,6,2,background,5767.800000000745,images/stimuli/simple_11_A_a.gif,memory_background,TRUE
SS1646459697680,7,simple,10000,memory,6,3,background,3963.7999999970198,images/stimuli/simple_11_A_a.gif,memory_background,TRUE
SS1646459697680,7,simple,10000,memory,6,4,background,2038.5,images/stimuli/simple_11_A_a.gif,memory_background,TRUE
