"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"2930.4000000059605","","stimuli-presentation","30","107259","0.0-20.0-1.0","SS1646459694618","","","trial","","40","","500","3430.4000000059605","null","null","forced","10000","1","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","31","108427","0.0-20.0-0.1","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"169.69999998807907","","stimuli-presentation","32","109098","0.0-20.0-1.1","SS1646459694618","","","trial","","40","","500","669.6999999880791","images/stimuli/complex_18_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","1","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","33","110268","0.0-20.0-0.2","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"876.3999999761581","","stimuli-presentation","34","111659","0.0-20.0-1.2","SS1646459694618","","","trial","","40","","500","1376.3999999761581","images/stimuli/complex_18_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","1","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","35","112653","0.0-20.0-0.3","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"2127.699999988079","","stimuli-presentation","36","115283","0.0-20.0-1.3","SS1646459694618","","","trial","","40","","500","2627.699999988079","images/stimuli/complex_18_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","1","complex","10000","images/stimuli/complex_13_A_a.gif","","",""
"null","","html-keyboard-response","37","116195","0.0-20.0-0.4","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"1424.3999999761581","","stimuli-presentation","38","118131","0.0-20.0-1.4","SS1646459694618","","","trial","","40","","500","1924.3999999761581","images/stimuli/complex_18_A_a.gif","images/stimuli/complex_13_A_a.gif","self-paced","10000","1","complex","10000","images/stimuli/complex_18_A_a.gif","","",""
"3726","{""Q0"":""No""}","survey-multi-choice","39","121858","0.0-21.0","SS1646459694618","","","memory_test","","","","","","","","","","","","","","[0]","images/stimuli/complex_03_A_a.gif","1"
"null","","html-keyboard-response","40","122864","0.0-22.0","SS1646459694618","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","41","132871","0.0-23.0","SS1646459694618","","","","","null","","500","500","null","null","forced","10000","","","","","","",""
"null","","html-keyboard-response","42","133874","0.0-24.0","SS1646459694618","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","43","135132","0.0-25.0-0.0","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
